Timestamp,From,To,Direction,Lift,Passengers
2025-04-20 23:06:10,9,2,DOWN,0,1
2025-04-20 23:06:15,9,2,DOWN,1,2
2025-04-20 23:06:19,9,2,DOWN,2,3
2025-04-20 23:06:27,9,8,DOWN,2,3
2025-04-20 23:06:46,9,8,DOWN,0,3
2025-04-21 14:37:14,5,2,DOWN,0,1
2025-04-21 14:37:21,5,6,UP,1,2
2025-04-21 14:39:40,9,2,DOWN,0,1
2025-04-21 14:39:57,5,1,DOWN,0,2
2025-04-21 14:40:07,5,1,DOWN,0,3
2025-04-21 14:41:40,8,1,DOWN,0,1
2025-04-21 14:42:50,8,0,DOWN,0,1
2025-04-21 14:43:02,6,0,DOWN,1,12
2025-04-21 14:43:15,3,2,DOWN,0,12
2025-04-21 14:43:26,9,2,DOWN,0,12
2025-04-21 14:43:38,6,2,DOWN,1,12
2025-04-21 14:43:38,6,2,DOWN,1,12
2025-04-21 14:43:38,6,2,DOWN,1,12
2025-04-21 14:44:24,9,0,DOWN,0,1
2025-04-21 14:44:39,6,0,DOWN,0,2
2025-04-21 16:20:37,7,2,DOWN,0,1
2025-04-21 16:20:45,7,2,DOWN,1,2
2025-04-21 16:20:51,4,2,DOWN,0,2
2025-04-21 16:20:59,5,2,DOWN,0,2
2025-04-21 16:21:03,5,2,DOWN,1,2
2025-04-21 16:21:04,5,2,DOWN,0,2
2025-04-21 16:21:04,5,2,DOWN,0,2
2025-04-21 16:21:31,4,0,DOWN,0,1
2025-04-21 16:21:36,4,0,DOWN,0,1
2025-04-21 16:21:37,4,0,DOWN,0,1
2025-04-21 16:23:27,5,0,DOWN,0,1
2025-04-21 16:23:35,7,0,DOWN,1,2
2025-04-21 16:23:35,7,0,DOWN,1,2
2025-04-21 16:23:47,4,0,DOWN,0,2
2025-04-21 16:23:47,4,0,DOWN,0,2
2025-04-21 16:23:47,4,0,DOWN,0,2
2025-04-21 16:27:30,5,0,DOWN,0,1
2025-04-21 16:27:46,9,0,DOWN,0,1
2025-04-21 16:27:52,5,0,DOWN,1,1
2025-04-21 16:28:00,5,0,DOWN,0,1
2025-04-21 16:30:19,9,2,DOWN,0,1
2025-04-21 16:30:35,4,2,DOWN,0,1
